                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6107,                 2.5332,                 1.4602,                0.35227,                0.44457,                0.31455,                0.15903,                 1.7896,                 3.3272,                  2.037,             0.00041358,             0.00041358,             0.00041358
                      2,                 1.5725,                 1.9554,                 1.4393,                 0.3229,                0.46895,                0.35811,                  0.162,                 1.9353,                 3.2718,                  2.101,             0.00081381,             0.00081381,             0.00081381
                      3,                 1.6061,                 1.8597,                 1.4437,                0.53856,                0.39978,                0.33782,                0.16102,                 2.0574,                 3.0991,                 2.2163,              0.0011975,              0.0011975,              0.0011975
                      4,                 1.6092,                 1.7639,                 1.4377,                0.55056,                0.34245,                0.43533,                 0.2369,                 1.8034,                 3.0675,                 1.9796,              0.0011757,              0.0011757,              0.0011757
                      1,                 1.6107,                 2.5332,                 1.4602,                0.35227,                0.44457,                0.31455,                0.15903,                 1.7896,                 3.3272,                  2.037,             0.00041358,             0.00041358,             0.00041358
                      2,                 1.5725,                 1.9554,                 1.4393,                 0.3229,                0.46895,                0.35811,                  0.162,                 1.9353,                 3.2718,                  2.101,             0.00081381,             0.00081381,             0.00081381
                      3,                 1.6061,                 1.8597,                 1.4437,                0.53856,                0.39978,                0.33782,                0.16102,                 2.0574,                 3.0991,                 2.2163,              0.0011975,              0.0011975,              0.0011975
                      4,                 1.6092,                 1.7639,                 1.4377,                0.55056,                0.34245,                0.43533,                 0.2369,                 1.8034,                 3.0675,                 1.9796,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.5475,                 1.6956,                 1.4336,                0.42504,                0.56108,                0.45059,                0.22583,                 1.9071,                 2.5992,                 2.1641,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.5488,                  1.661,                  1.422,                0.44392,                0.50143,                0.46852,                0.24811,                 1.8688,                 3.1869,                 2.0507,               0.001151,               0.001151,               0.001151
                      7,                 1.5171,                 1.5567,                 1.3837,                0.41186,                0.66209,                0.55163,                0.32235,                 1.7911,                 2.2524,                 2.0269,              0.0011263,              0.0011263,              0.0011263
                      8,                  1.477,                 1.4874,                 1.3684,                0.52275,                0.61995,                0.55583,                0.29464,                 1.7426,                 2.2773,                 1.8966,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.4717,                 1.5017,                 1.3787,                0.50639,                0.56443,                0.53738,                0.29693,                  1.886,                 2.3088,                 2.0304,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.4563,                 1.4545,                 1.3614,                0.61477,                0.44194,                0.57861,                0.36081,                 1.6237,                 2.2975,                 1.8175,               0.001052,               0.001052,               0.001052
                     11,                 1.4273,                 1.3787,                 1.3391,                0.48135,                0.75006,                 0.6373,                0.38909,                 1.7084,                 2.0135,                 1.8661,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.4235,                 1.3608,                 1.3348,                0.48496,                0.62044,                0.57479,                0.31731,                  1.769,                  2.258,                 1.9311,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.4155,                 1.3606,                 1.3328,                0.46946,                0.63968,                 0.5939,                0.35217,                 1.7305,                 2.1157,                 1.8884,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.3904,                 1.3403,                   1.32,                0.50334,                0.61646,                0.59202,                0.34254,                 1.7196,                  2.053,                 1.8873,               0.000953,               0.000953,               0.000953
                     15,                 1.3991,                 1.3088,                 1.3077,                0.61278,                0.63805,                0.62251,                0.38189,                 1.6928,                 2.0932,                 1.8384,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.3743,                  1.292,                 1.3043,                0.52988,                0.69845,                0.61204,                0.37589,                 1.6331,                 1.9401,                 1.8529,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.3719,                 1.2922,                 1.3121,                0.56368,                0.63476,                0.61691,                0.39194,                 1.6938,                 2.0246,                 1.8653,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.3535,                 1.2524,                 1.2929,                0.47178,                0.68484,                0.60394,                0.40918,                 1.6189,                 2.2109,                 1.7572,               0.000854,               0.000854,               0.000854
                     19,                 1.3545,                 1.2443,                 1.2943,                0.48923,                0.76497,                0.64177,                0.41957,                 1.6051,                 1.9142,                 1.7613,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.3294,                 1.2247,                 1.2772,                0.57982,                0.76019,                0.66317,                0.42193,                 1.6942,                 1.8405,                 1.8384,              0.0008045,              0.0008045,              0.0008045
                     21,                  1.318,                 1.2114,                 1.2735,                0.48658,                0.76559,                0.65738,                0.42509,                  1.669,                 1.9186,                 1.8099,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.3187,                 1.2041,                 1.2696,                0.53889,                0.70323,                0.62134,                0.38884,                 1.6804,                 2.2548,                 1.8207,               0.000755,               0.000755,               0.000755
                     23,                 1.2991,                 1.1938,                 1.2637,                0.52823,                 0.7448,                0.66131,                0.43762,                 1.6078,                   1.91,                 1.7839,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.3005,                  1.186,                  1.254,                0.62354,                 0.6746,                0.63273,                0.40628,                   1.63,                 1.8867,                 1.8206,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.3079,                 1.1783,                 1.2645,                0.58279,                0.72025,                0.62636,                0.40675,                 1.6935,                  1.989,                 1.8661,             0.00068075,             0.00068075,             0.00068075
                     26,                  1.282,                 1.1459,                 1.2415,                0.49234,                0.72439,                 0.6513,                0.42848,                 1.6246,                 1.9074,                 1.7805,               0.000656,               0.000656,               0.000656
                     27,                 1.2918,                 1.1648,                 1.2551,                0.61152,                0.74833,                0.66375,                0.42279,                 1.6471,                 1.8871,                 1.8148,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.2619,                 1.1226,                 1.2406,                0.55742,                0.68109,                0.62807,                 0.4097,                 1.6384,                 2.0373,                 1.8211,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.2632,                 1.1335,                 1.2445,                 0.6209,                0.68689,                0.65007,                0.43497,                  1.618,                  1.843,                 1.7688,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.2525,                 1.0946,                 1.2245,                0.60791,                 0.6585,                0.63891,                0.43484,                 1.6082,                 1.8175,                 1.7959,               0.000557,               0.000557,               0.000557
                     31,                 1.2614,                 1.0976,                 1.2317,                0.57358,                0.70243,                0.65454,                0.43593,                 1.6105,                 1.9688,                 1.7868,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.2429,                 1.0874,                 1.2213,                0.65311,                0.66204,                0.62883,                0.41798,                  1.607,                 1.8636,                  1.782,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.2389,                 1.0887,                 1.2293,                0.58601,                0.72188,                 0.6309,                0.43003,                 1.6403,                 2.0089,                 1.8156,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.2189,                 1.0641,                 1.2087,                0.59273,                0.75347,                0.65649,                0.44264,                 1.6317,                 1.8544,                 1.8038,               0.000458,               0.000458,               0.000458
                     35,                 1.2208,                 1.0553,                 1.2093,                0.58782,                0.72659,                 0.6436,                0.44873,                 1.5595,                 2.2075,                 1.7834,             0.00043325,             0.00043325,             0.00043325
                     36,                  1.208,                 1.0519,                 1.2054,                0.54603,                 0.7703,                0.66281,                0.46124,                 1.5648,                 1.9105,                 1.7583,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.1995,                 1.0332,                 1.1984,                0.62322,                0.73665,                0.65888,                0.44652,                 1.5796,                 1.8471,                 1.7652,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.1914,                 1.0347,                 1.1985,                0.60496,                0.74169,                0.65878,                0.43825,                 1.6101,                 1.9617,                 1.8242,               0.000359,               0.000359,               0.000359
                     39,                 1.1931,                 1.0224,                 1.1943,                0.60443,                0.73617,                0.66376,                0.45796,                 1.5804,                   1.87,                 1.7608,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.1836,                 1.0076,                 1.1985,                0.67207,                0.70276,                0.66087,                0.45609,                 1.5605,                 1.9631,                 1.7489,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.1607,                0.96182,                 1.1912,                0.60672,                0.72325,                0.66335,                0.44402,                 1.5919,                 1.7512,                 1.7931,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.1391,                0.90812,                 1.1769,                0.62172,                0.75742,                 0.6644,                0.45149,                 1.6129,                 1.9231,                  1.788,                0.00026,                0.00026,                0.00026
                     43,                 1.1246,                 0.8973,                 1.1652,                0.66061,                0.73282,                0.65913,                0.45669,                 1.5931,                 1.8104,                  1.767,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.1077,                0.87593,                 1.1565,                 0.6191,                0.71047,                0.64216,                0.44874,                 1.5983,                 2.0367,                 1.7939,              0.0002105,              0.0002105,              0.0002105
                     45,                 1.1008,                0.86723,                 1.1521,                0.57055,                0.72891,                0.64995,                0.46263,                 1.5762,                 1.8959,                 1.7772,             0.00018575,             0.00018575,             0.00018575
                     46,                 1.0869,                0.85626,                 1.1433,                0.61008,                0.74502,                0.65464,                0.45435,                  1.576,                 1.7674,                 1.7834,               0.000161,               0.000161,               0.000161
                     47,                 1.0762,                0.84425,                 1.1444,                0.62576,                0.70659,                0.63127,                0.44282,                 1.5809,                 1.9584,                 1.7844,             0.00013625,             0.00013625,             0.00013625
                     48,                 1.0729,                0.82618,                 1.1335,                0.56495,                0.73736,                0.63678,                0.44349,                 1.5624,                 1.9409,                 1.7695,              0.0001115,              0.0001115,              0.0001115
                     49,                 1.0552,                0.81205,                 1.1212,                 0.6477,                0.72985,                 0.6464,                0.43525,                  1.601,                 1.8542,                 1.8011,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                 1.0525,                0.80292,                 1.1252,                 0.6203,                 0.7334,                0.65074,                0.44934,                 1.5783,                 1.8987,                 1.7958,                6.2e-05,                6.2e-05,                6.2e-05
